industry,industry_label,brand_name,domain,country,subcategory,description,source
fashion,Fashion,Allbirds,allbirds.com,,,,verified
fashion,Fashion,Away,awaytravel.com,,,,verified
fashion,Fashion,Chubbies,chubbies.com,,,,verified
fashion,Fashion,Cuts Clothing,cutsclothing.com,,,,verified
fashion,Fashion,Daniel Wellington,danielwellington.com,,,,verified
fashion,Fashion,Ekster,ekster.com,,,,verified
fashion,Fashion,Fashion Nova,fashionnova.com,,,,verified
fashion,Fashion,Greats,greats.com,,,,verified
fashion,Fashion,Kith,kith.com,,,,verified
fashion,Fashion,Knix,knix.com,,,,verified
fashion,Fashion,Koio,koio.co,,,,verified
fashion,Fashion,Lunya,lunya.co,,,,verified
fashion,Fashion,Mack Weldon,mackweldon.com,,,,verified
fashion,Fashion,Marine Layer,marinelayer.com,,,,verified
fashion,Fashion,Monos,monos.com,,,,verified
fashion,Fashion,OBEY Clothing,obeyclothing.com,,,,verified
fashion,Fashion,OddBalls,myoddballs.com,,,,verified
fashion,Fashion,Oliver Cabell,olivercabell.com,,,,verified
fashion,Fashion,Only NY,onlyny.com,,,,verified
fashion,Fashion,Outdoor Voices,outdoorvoices.com,,,,verified
fashion,Fashion,Quay Australia,quayaustralia.com,,,,verified
fashion,Fashion,Represent Clothing,representclo.com,,,,verified
fashion,Fashion,Rothy's,rothys.com,,,,verified
fashion,Fashion,Stance,stance.com,,,,verified
fashion,Fashion,Steve Madden,stevemadden.com,,,,verified
fashion,Fashion,Taylor Stitch,taylorstitch.com,,,,verified
fashion,Fashion,Tentree,tentree.com,,,,verified
fashion,Fashion,The Hundreds,thehundreds.com,,,,verified
fashion,Fashion,ThirdLove,thirdlove.com,,,,verified
fashion,Fashion,Thursday Boots,thursdayboots.com,,,,verified
fashion,Fashion,Todd Snyder,toddsnyder.com,,,,verified
fashion,Fashion,True Classic,trueclassictees.com,,,,verified
fashion,Fashion,Vessi,vessi.com,,,,verified
fashion,Fashion,Vincero,vincerowatches.com,,,,verified
fashion,Fashion,Western Rise,westernrise.com,,,,verified
fashion,Fashion,Aime Leon Dore,aimeleondore.com,US,streetwear,New York luxury streetwear and sportswear brand.,researched
fashion,Fashion,Albaray,albaray.co.uk,UK,womenswear,British womenswear brand offering responsibly made contemporary clothing.,researched
fashion,Fashion,Bo+Tee,bo-tee.com,UK,activewear,"British activewear sub-brand of Oh Polly selling leggings, sports bras and crop tops.",researched
fashion,Fashion,Cole Buxton,colebuxton.com,UK,contemporary sportswear,"Contemporary British sportswear brand making hoodies, tees and sweatpants designed and produced in Britain.",researched
